PZ7180000020811_DVU	GO:0003824	GJ12748 [Drosophila virilis]
PZ7180000024632_APY	GO:0017111	cg4822 cg4822-pa
PZ498293_APY	GO:0043190	isoform a
PZ498293_APY	GO:0005215	isoform a
PZ7180000033428_APZ	GO:0033014	delta-aminolevulinic acid dehydratase
PZ7180000033428_APZ	GO:0004655	delta-aminolevulinic acid dehydratase
PZ7180000033429_APZ	GO:0046872	porphobilinogen synthase
PZ7180000033429_APZ	GO:0004655	porphobilinogen synthase
PZ7180000033429_APZ	GO:0006779	porphobilinogen synthase
PZ7180000019868_APZ	GO:0033014	delta-aminolevulinic acid dehydratase
PZ7180000019868_APZ	GO:0003824	delta-aminolevulinic acid dehydratase
PZ821843_AQA	GO:0001700	nuclear protein skip
PZ821843_AQA	GO:0005681	nuclear protein skip
PZ821843_AQA	GO:0005515	nuclear protein skip
PZ821843_AQA	GO:0000398	nuclear protein skip
PZ821843_AQA	GO:0035214	nuclear protein skip
PZ7180000019991_AQB	GO:0009888	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0043154	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0044237	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0050614	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0005789	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0006916	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0044238	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0042605	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0019899	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0005634	24-dehydrocholesterol reductase
PZ7180000019991_AQB	GO:0006979	24-dehydrocholesterol reductase
PZ7180000024885_AQB	GO:0009987	24-dehydrocholesterol reductase
PZ7180000024885_AQB	GO:0016491	24-dehydrocholesterol reductase
PZ7180000024885_AQB	GO:0008152	24-dehydrocholesterol reductase
PZ7180000024885_AQB	GO:0050660	24-dehydrocholesterol reductase
PZ7180000024885_AQB	GO:0032502	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0009888	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0043154	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0044237	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0050614	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0005789	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0006916	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0044238	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0042605	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0019899	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0005634	24-dehydrocholesterol reductase
PZ7180000032768_AQB	GO:0006979	24-dehydrocholesterol reductase
PZ696763_AQD	GO:0005737	threonyl-trna synthetase
PZ696763_AQD	GO:0004829	threonyl-trna synthetase
PZ696763_AQD	GO:0005524	threonyl-trna synthetase
PZ696763_AQD	GO:0006435	threonyl-trna synthetase
PZ7180000036659_AQE	GO:0051533	olf186- isoform e
PZ7180000036659_AQE	GO:0032236	olf186- isoform e
PZ7180000036659_AQE	GO:0016021	olf186- isoform e
PZ7180000036659_AQE	GO:0007399	olf186- isoform e
PZ7180000036659_AQE	GO:0015279	olf186- isoform e
PZ856976_AQG	GO:0005488	zinc ccch-type with g patch domain
PZ7180000036019_AQH	GO:0005730	novel protein
PZ7180000036019_AQH	GO:0005886	novel protein
PZ7180000036019_AQH	GO:0005829	novel protein
PZ7180000036020_AQH	GO:0005730	riken cdna 2810405k02
PZ7180000036020_AQH	GO:0005886	riken cdna 2810405k02
PZ7180000036020_AQH	GO:0005829	riken cdna 2810405k02
PZ7180000022957_AQH	GO:0005730	novel protein
PZ7180000022957_AQH	GO:0005829	novel protein
PZ7180000022957_AQH	GO:0005886	novel protein
PZ7180000024444_AQI	GO:0004683	calcium calmodulin-dependent protein kinase type 1
PZ7180000024444_AQI	GO:0006468	calcium calmodulin-dependent protein kinase type 1
PZ7180000024444_AQI	GO:0005524	calcium calmodulin-dependent protein kinase type 1
PZ7180000024444_AQI	GO:0005516	calcium calmodulin-dependent protein kinase type 1
PZ484826_AQI	GO:0004683	map kinase-activated protein kinase
PZ484826_AQI	GO:0008360	map kinase-activated protein kinase
PZ484826_AQI	GO:0006468	map kinase-activated protein kinase
PZ484826_AQI	GO:0007155	map kinase-activated protein kinase
PZ484826_AQI	GO:0005524	map kinase-activated protein kinase
PZ7180000019779_AQJ	GO:0005506	calcineurin a
PZ7180000019779_AQJ	GO:0004721	calcineurin a
PZ544279_AQJ	GO:0005506	novel protein vertebrate protein phosphatase 3 (formerly 2b) catalytic alpha isoform (calcineurin a alpha)
PZ544279_AQJ	GO:0004721	novel protein vertebrate protein phosphatase 3 (formerly 2b) catalytic alpha isoform (calcineurin a alpha)
PZ7180000019979_AQK	GO:0046872	-dihydroxy-3-keto-5-methylthiopentene dioxygenase
PZ7180000019979_AQK	GO:0019509	-dihydroxy-3-keto-5-methylthiopentene dioxygenase
PZ7180000019979_AQK	GO:0016702	-dihydroxy-3-keto-5-methylthiopentene dioxygenase
PZ7180000033574_AQK	GO:0046872	-dihydroxy-3-keto-5-methylthiopentene dioxygenase
PZ7180000033574_AQK	GO:0019509	-dihydroxy-3-keto-5-methylthiopentene dioxygenase
PZ7180000033574_AQK	GO:0016702	-dihydroxy-3-keto-5-methylthiopentene dioxygenase
PZ7180000000003_PI	GO:0003723	reverse transcriptase
PZ7180000000003_PI	GO:0003964	reverse transcriptase
PZ7180000000003_PI	GO:0031072	reverse transcriptase
PZ7180000000003_PI	GO:0006278	reverse transcriptase
PZ7180000000003_PJ	GO:0007165	sparc
PZ7180000000003_PJ	GO:0005578	sparc
PZ7180000000003_PJ	GO:0005509	sparc
PZ7180000000004_PJ	GO:0007165	secreted protein acidic and rich in cysteine
PZ7180000000004_PJ	GO:0005578	secreted protein acidic and rich in cysteine
PZ7180000000004_PJ	GO:0005509	secreted protein acidic and rich in cysteine
PZ7180000000002_PK	GO:0006457	chaperonin subunit 4 delta
PZ7180000000002_PK	GO:0005737	chaperonin subunit 4 delta
PZ7180000000002_PK	GO:0051082	chaperonin subunit 4 delta
PZ7180000000002_PK	GO:0005524	chaperonin subunit 4 delta
PZ7180000000003_PK	GO:0005737	chaperonin subunit 4 delta
PZ7180000000003_PK	GO:0006457	chaperonin subunit 4 delta
PZ7180000000003_PK	GO:0005524	chaperonin subunit 4 delta
PZ7180000000003_PK	GO:0051082	chaperonin subunit 4 delta
PZ7180000000003_PK	GO:0000285	chaperonin subunit 4 delta
PZ7180000000002_PL	GO:0006120	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000002_PL	GO:0051287	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000002_PL	GO:0009055	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000002_PL	GO:0005747	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000002_PL	GO:0003954	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000003_PL	GO:0006120	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000003_PL	GO:0051287	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000003_PL	GO:0009055	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000003_PL	GO:0008137	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000003_PL	GO:0005506	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000003_PL	GO:0005747	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000003_PL	GO:0051539	nadh-ubiquinone oxidoreductase fe-s protein 2
PZ7180000000007_PM	GO:0004556	alpha-amylase
PZ7180000000007_PM	GO:0005975	alpha-amylase
PZ7180000000007_PM	GO:0043169	alpha-amylase
PZ7180000000008_PM	GO:0004556	alpha-amylase
PZ7180000000008_PM	GO:0005975	alpha-amylase
PZ7180000000008_PM	GO:0043169	alpha-amylase
PZ7180000000009_PM	GO:0004556	alpha-amylase
PZ7180000000009_PM	GO:0005975	alpha-amylase
PZ7180000000009_PM	GO:0043169	alpha-amylase
PZ7180000000010_PM	GO:0004556	alpha-amylase
PZ7180000000010_PM	GO:0005975	alpha-amylase
PZ7180000000010_PM	GO:0043169	alpha-amylase
PZ7180000000011_PM	GO:0004556	alpha-amylase
PZ7180000000011_PM	GO:0005975	alpha-amylase
PZ7180000000011_PM	GO:0043169	alpha-amylase
PZ7180000000006_PM	GO:0004556	alpha-amylase
PZ7180000000006_PM	GO:0005975	alpha-amylase
PZ7180000000006_PM	GO:0043169	alpha-amylase
PZ7180000000001_PN	GO:0005737	g protein pathway suppressor 1
PZ7180000000001_PN	GO:0005515	g protein pathway suppressor 1
PZ7180000000001_PN	GO:0007254	g protein pathway suppressor 1
PZ7180000000001_PN	GO:0000188	g protein pathway suppressor 1
PZ7180000000001_PN	GO:0007049	g protein pathway suppressor 1
PZ7180000000001_PN	GO:0005095	g protein pathway suppressor 1
PZ7180000000001_PN	GO:0008180	g protein pathway suppressor 1
PZ7180000000002_PO	GO:0005840	ribosomal protein s10
PZ7180000000003_PO	GO:0022627	s10e ribosomal protein
PZ202_PO	GO:0005840	40s ribosomal protein s10
PZ7180000000003_PP	GO:0004180	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0046983	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0004046	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0006751	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0006508	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0005634	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0005829	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0008270	glutamate carboxypeptidase
PZ7180000000003_PP	GO:0008237	glutamate carboxypeptidase
PZ7180000000004_PP	GO:0046983	cndp dipeptidase 2
PZ7180000000004_PP	GO:0008237	cndp dipeptidase 2
PZ7180000000004_PP	GO:0016805	cndp dipeptidase 2
PZ7180000000004_PP	GO:0006508	cndp dipeptidase 2
PZ7180000000004_PP	GO:0008270	cndp dipeptidase 2
PZ7180000000004_PP	GO:0004180	cndp dipeptidase 2
PZ7180000000005_PP	GO:0046872	cndp dipeptidase 2 (metallopeptidase m20 family)
PZ7180000000005_PP	GO:0046983	cndp dipeptidase 2 (metallopeptidase m20 family)
PZ7180000000005_PP	GO:0008237	cndp dipeptidase 2 (metallopeptidase m20 family)
PZ7180000000005_PP	GO:0006508	cndp dipeptidase 2 (metallopeptidase m20 family)
PZ7180000000005_PP	GO:0009014	cndp dipeptidase 2 (metallopeptidase m20 family)
PZ7180000000005_PP	GO:0008238	cndp dipeptidase 2 (metallopeptidase m20 family)
PZ7180000000004_PU	GO:0005634	translin
PZ7180000000004_PU	GO:0043565	translin
PZ7180000000005_PU	GO:0043565	translin
PZ7180000000005_PU	GO:0005634	translin
PZ7180000000005_PU	GO:0005515	translin
PZ7180000000005_PU	GO:0003729	translin
PZ7180000000003_PU	GO:0005634	translin
PZ7180000000003_PU	GO:0043565	translin
PZ7180000000001_PV	GO:0005811	peptidylprolyl isomerase b
PZ7180000000001_PX	GO:0004872	receptor expression enhancing protein isoform 1
PZ7180000000005_PY	GO:0009190	adenylyl cyclase 76e
PZ7180000000005_PY	GO:0016021	adenylyl cyclase 76e
PZ7180000000005_PY	GO:0007242	adenylyl cyclase 76e
PZ7180000000005_PY	GO:0004016	adenylyl cyclase 76e
PZ7180000000007_PY	GO:0009987	guanylate cyclase
PZ7180000000007_PY	GO:0004872	guanylate cyclase
PZ7180000000007_PY	GO:0004383	guanylate cyclase
PZ7180000000008_PY	GO:0004383	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0017046	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0004672	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0016021	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0007166	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0008528	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0008217	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0042802	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0005624	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0005524	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0016941	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0007242	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0005525	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0005886	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0006468	natriuretic peptide receptor 2
PZ7180000000008_PY	GO:0006182	natriuretic peptide receptor 2
PZ7180000000009_PY	GO:0004383	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0016021	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0008528	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0005524	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0004713	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0020037	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0007242	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0006468	atrial natriuretic peptide receptor
PZ7180000000009_PY	GO:0006182	atrial natriuretic peptide receptor
PZ7180000000003_PZ	GO:0005737	myosin i
PZ7180000000003_PZ	GO:0007368	myosin i
PZ7180000000003_PZ	GO:0007498	myosin i
PZ7180000000003_PZ	GO:0016459	myosin i
PZ7180000000003_PZ	GO:0003774	myosin i
PZ7180000000003_PZ	GO:0042623	myosin i
PZ7180000000003_PZ	GO:0000166	myosin i
PZ7180000000001_QZ	GO:0016021	isoform a
PZ7180000000003_RA	GO:0005515	hig1 domain member 1a
PZ7180000000003_RA	GO:0043234	hig1 domain member 1a
PZ7180000000002_RA	GO:0005515	hig1 domain member 1a
PZ7180000000002_RA	GO:0043234	hig1 domain member 1a
PZ7180000000004_RC	GO:0004353	glutamate dehydrogenase
PZ7180000000004_RC	GO:0019551	glutamate dehydrogenase
PZ7180000000004_RC	GO:0005488	glutamate dehydrogenase
PZ7180000000004_RC	GO:0046693	glutamate dehydrogenase
PZ7180000000004_RC	GO:0005759	glutamate dehydrogenase
PZ7180000000004_RC	GO:0055114	glutamate dehydrogenase
PZ7180000000004_RC	GO:0004352	glutamate dehydrogenase
PZ7180000000005_RC	GO:0004353	glutamate dehydrogenase
PZ7180000000005_RC	GO:0019551	glutamate dehydrogenase
PZ7180000000005_RC	GO:0005488	glutamate dehydrogenase
PZ7180000000005_RC	GO:0046693	glutamate dehydrogenase
PZ7180000000005_RC	GO:0005759	glutamate dehydrogenase
PZ7180000000005_RC	GO:0055114	glutamate dehydrogenase
PZ7180000000005_RC	GO:0004352	glutamate dehydrogenase
PZ7180000000003_RC	GO:0004353	glutamate dehydrogenase
PZ7180000000003_RC	GO:0019551	glutamate dehydrogenase
PZ7180000000003_RC	GO:0005488	glutamate dehydrogenase
PZ7180000000003_RC	GO:0046693	glutamate dehydrogenase
PZ7180000000003_RC	GO:0005759	glutamate dehydrogenase
PZ7180000000003_RC	GO:0055114	glutamate dehydrogenase
PZ7180000000003_RC	GO:0004352	glutamate dehydrogenase
PZ7180000000002_RE	GO:0016021	cdk5 regulatory subunit associated protein 1-like 1
PZ7180000000002_RE	GO:0008152	cdk5 regulatory subunit associated protein 1-like 1
PZ7180000000002_RE	GO:0005506	cdk5 regulatory subunit associated protein 1-like 1
PZ7180000000002_RE	GO:0003824	cdk5 regulatory subunit associated protein 1-like 1
PZ7180000000002_RE	GO:0051539	cdk5 regulatory subunit associated protein 1-like 1
PZ7180000000003_RE	GO:0045736	cdk5 regulatory subunit associated protein 1
PZ7180000000003_RE	GO:0005515	cdk5 regulatory subunit associated protein 1
PZ7180000000003_RE	GO:0007399	cdk5 regulatory subunit associated protein 1
PZ7180000000003_RE	GO:0003824	cdk5 regulatory subunit associated protein 1
PZ7180000000003_RF	GO:0005625	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0055114	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0019322	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0008114	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0005792	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0019521	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0009051	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0031406	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0005515	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0004616	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0050661	phosphogluconate dehydrogenase
PZ7180000000003_RF	GO:0005529	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0005625	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0055114	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0019322	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0008114	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0005792	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0019521	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0009051	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0031406	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0005515	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0004616	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0050661	phosphogluconate dehydrogenase
PZ7180000000004_RF	GO:0005529	phosphogluconate dehydrogenase
PZ7180000000005_RF	GO:0050661	phosphogluconate dehydrogenase
PZ7180000000005_RF	GO:0005515	phosphogluconate dehydrogenase
PZ7180000000005_RF	GO:0055114	phosphogluconate dehydrogenase
PZ7180000000005_RF	GO:0019322	phosphogluconate dehydrogenase
PZ7180000000005_RF	GO:0004616	phosphogluconate dehydrogenase
PZ7180000000005_RF	GO:0009051	phosphogluconate dehydrogenase
PZ7180000000005_RG	GO:0008624	death-associated protein
PZ7180000000001_RI	GO:0003735	ribosomal protein l35ae
PZ7180000000001_RI	GO:0022625	ribosomal protein l35ae
PZ7180000000001_RI	GO:0006412	ribosomal protein l35ae
PZ115_RI	GO:0005840	ribosomal protein l35a
PZ115_RI	GO:0003735	ribosomal protein l35a
PZ115_RI	GO:0006412	ribosomal protein l35a
PZ7180000000004_RJ	GO:0009987	dna repair protein rad50
PZ7180000000004_RJ	GO:0005634	dna repair protein rad50
PZ7180000000007_RJ	GO:0004828	dna repair protein rad50
PZ7180000000007_RJ	GO:0006281	dna repair protein rad50
PZ7180000000007_RJ	GO:0016233	dna repair protein rad50
PZ7180000000007_RJ	GO:0008270	dna repair protein rad50
PZ7180000000007_RJ	GO:0015439	dna repair protein rad50
PZ7180000000007_RJ	GO:0030870	dna repair protein rad50
PZ7180000000007_RJ	GO:0005524	dna repair protein rad50
PZ7180000000007_RJ	GO:0004709	dna repair protein rad50
PZ7180000000007_RJ	GO:0004518	dna repair protein rad50
PZ7180000000007_RJ	GO:0005694	dna repair protein rad50
PZ7180000000002_RK	GO:0007411	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0045475	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0048148	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0008603	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0048149	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0005515	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0016301	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0001932	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0005737	camp-dependent protein kinase r2
PZ7180000000002_RK	GO:0005952	camp-dependent protein kinase r2
PZ7180000000003_RK	GO:0001932	cgmp-dependent protein kinase
PZ7180000000003_RK	GO:0030551	cgmp-dependent protein kinase
PZ7180000000003_RK	GO:0005524	cgmp-dependent protein kinase
PZ7180000000003_RK	GO:0004692	cgmp-dependent protein kinase
PZ7180000000003_RK	GO:0008603	cgmp-dependent protein kinase
PZ7180000000003_RK	GO:0005952	cgmp-dependent protein kinase
PZ7180000000006_RM	GO:0030170	pyridoxal kinase
PZ7180000000006_RM	GO:0008283	pyridoxal kinase
PZ7180000000006_RM	GO:0031403	pyridoxal kinase
PZ7180000000006_RM	GO:0030955	pyridoxal kinase
PZ7180000000006_RM	GO:0005524	pyridoxal kinase
PZ7180000000006_RM	GO:0000287	pyridoxal kinase
PZ7180000000006_RM	GO:0031402	pyridoxal kinase
PZ7180000000006_RM	GO:0008478	pyridoxal kinase
PZ7180000000006_RM	GO:0042823	pyridoxal kinase
PZ7180000000006_RM	GO:0008270	pyridoxal kinase
PZ7180000000006_RM	GO:0005829	pyridoxal kinase
PZ7180000000006_RM	GO:0042803	pyridoxal kinase
PZ7180000000006_RM	GO:0008615	pyridoxal kinase
PZ7180000000007_RM	GO:0030170	pyridoxal kinase
PZ7180000000007_RM	GO:0008283	pyridoxal kinase
PZ7180000000007_RM	GO:0031403	pyridoxal kinase
PZ7180000000007_RM	GO:0030955	pyridoxal kinase
PZ7180000000007_RM	GO:0005524	pyridoxal kinase
PZ7180000000007_RM	GO:0000287	pyridoxal kinase
PZ7180000000007_RM	GO:0031402	pyridoxal kinase
PZ7180000000007_RM	GO:0008478	pyridoxal kinase
PZ7180000000007_RM	GO:0042823	pyridoxal kinase
PZ7180000000007_RM	GO:0008270	pyridoxal kinase
PZ7180000000007_RM	GO:0005829	pyridoxal kinase
PZ7180000000007_RM	GO:0042803	pyridoxal kinase
PZ7180000000007_RM	GO:0008615	pyridoxal kinase
PZ7180000000003_RN	GO:0016020	sulfate transporter
PZ7180000000003_RN	GO:0006810	sulfate transporter
PZ7180000000003_RN	GO:0005215	sulfate transporter
PZ7180000000003_RO	GO:0005743	cytochrome oxidase subunit ii
PZ7180000000003_RO	GO:0005507	cytochrome oxidase subunit ii
PZ7180000000003_RO	GO:0009055	cytochrome oxidase subunit ii
PZ7180000000003_RO	GO:0020037	cytochrome oxidase subunit ii
PZ7180000000003_RO	GO:0006810	cytochrome oxidase subunit ii
PZ7180000000003_RO	GO:0016021	cytochrome oxidase subunit ii
PZ7180000000003_RO	GO:0022904	cytochrome oxidase subunit ii
PZ7180000000003_RO	GO:0004129	cytochrome oxidase subunit ii
PZ7180000000005_RO	GO:0016021	signal sequence receptor beta
PZ7180000000005_RO	GO:0005783	signal sequence receptor beta
PZ7180000000005_RO	GO:0004872	signal sequence receptor beta
PZ7180000000005_RO	GO:0005811	signal sequence receptor beta
PZ7180000000004_RO	GO:0016021	signal sequence receptor beta
PZ7180000000004_RO	GO:0005783	signal sequence receptor beta
PZ7180000000004_RO	GO:0004872	signal sequence receptor beta
PZ7180000000004_RO	GO:0005811	signal sequence receptor beta
PZ575_RO	GO:0016021	translocon-associated protein subunit beta
PZ575_RO	GO:0005783	translocon-associated protein subunit beta
PZ575_RO	GO:0004872	translocon-associated protein subunit beta
PZ575_RO	GO:0005811	translocon-associated protein subunit beta
PZ7180000000003_RP	GO:0007424	signal peptide peptidase
PZ7180000000003_RP	GO:0042500	signal peptide peptidase
PZ7180000000003_RP	GO:0033619	signal peptide peptidase
PZ7180000000003_RP	GO:0016021	signal peptide peptidase
PZ7180000000003_RP	GO:0005783	signal peptide peptidase
PZ7180000000004_RP	GO:0016021	signal peptide peptidase
PZ7180000000004_RP	GO:0004190	signal peptide peptidase
PZ7180000000005_RP	GO:0042981	signal peptide peptidase
PZ7180000000005_RP	GO:0005622	signal peptide peptidase
PZ7180000000005_RP	GO:0005515	signal peptide peptidase
PZ7180000000005_RP	GO:0042500	signal peptide peptidase
PZ7180000000005_RP	GO:0033619	signal peptide peptidase
PZ7180000000005_RP	GO:0016021	signal peptide peptidase
PZ7180000000005_RP	GO:0004197	signal peptide peptidase
PZ7180000000007_RQ	GO:0005829	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000007_RQ	GO:0032542	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000007_RQ	GO:0055114	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000007_RQ	GO:0005524	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000007_RQ	GO:0016209	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000007_RQ	GO:0000287	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000007_RQ	GO:0006979	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000008_RQ	GO:0005829	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000008_RQ	GO:0032542	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000008_RQ	GO:0055114	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000008_RQ	GO:0005524	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000008_RQ	GO:0016209	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000008_RQ	GO:0000287	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000008_RQ	GO:0006979	sulfiredoxin 1 homolog ( cerevisiae)
PZ7180000000006_RQ	GO:0005829	sulfiredoxin 1 homolog
PZ7180000000006_RQ	GO:0032542	sulfiredoxin 1 homolog
