city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Paredes de Coura,41.9111,-8.5597,Portugal,PT,Viana do Castelo,minor,,
Seixal,38.6428,-9.1061,Portugal,PT,Setúbal,minor,,
Amares,41.6309,-8.3512,Portugal,PT,Braga,minor,,
Alenquer,39.0531,-9.0092,Portugal,PT,Lisboa,minor,,
Mêda,40.9631,-7.2631,Portugal,PT,Guarda,minor,,
Vouzela,40.7231,-8.1122,Portugal,PT,Viseu,minor,,
Mação,39.5533,-7.9986,Portugal,PT,Santarém,minor,,
Alfândega da Fé,41.3431,-6.9611,Portugal,PT,Bragança,minor,,
São Pedro do Sul,40.7408,-8.0914,Portugal,PT,Viseu,minor,,
Trofa,41.4878,-7.9613,Portugal,PT,Braga,minor,,
Alter do Chão,39.1974,-7.6589,Portugal,PT,Portalegre,minor,,
Mortágua,40.3947,-8.2328,Portugal,PT,Viseu,minor,,
Vila Nova de Cerveira,41.9400,-8.7444,Portugal,PT,Viana do Castelo,minor,,
Arcos de Valdevez,41.8442,-8.4264,Portugal,PT,Viana do Castelo,minor,,
Alcanena,39.4589,-8.6689,Portugal,PT,Santarém,minor,,
Mealhada,40.3781,-8.4514,Portugal,PT,Aveiro,minor,,
Valença,42.0301,-8.6411,Portugal,PT,Viana do Castelo,minor,,
Sernancelhe,40.9003,-7.4942,Portugal,PT,Viseu,minor,,
Vila Flor,41.3067,-7.1522,Portugal,PT,Bragança,minor,,
Castelo de Paiva,41.0630,-8.2647,Portugal,PT,Aveiro,minor,,
Penedono,40.9889,-7.3922,Portugal,PT,Viseu,minor,,
Alijó,41.2768,-7.4749,Portugal,PT,Vila Real,minor,,
Oliveira de Frades,40.7314,-8.1767,Portugal,PT,Viseu,minor,,
Vizela,41.3828,-8.2647,Portugal,PT,Braga,minor,,
Alvaiázere,39.8226,-8.3800,Portugal,PT,Leiria,minor,,
Montalegre,41.8239,-7.7900,Portugal,PT,Vila Real,minor,,
Alvito,38.2561,-7.9916,Portugal,PT,Beja,minor,,
Alcoutim,37.4717,-7.4722,Portugal,PT,Faro,minor,,
Almeida,40.7257,-6.9061,Portugal,PT,Guarda,minor,,
Aljezur,37.3192,-8.8033,Portugal,PT,Faro,minor,,
Lourinhã,39.2425,-9.3122,Portugal,PT,Lisboa,minor,,
Ferreira do Alentejo,38.0500,-8.1000,Portugal,PT,Beja,minor,,
